M,N,finufft,nudft_s3,nudft_s2
1,8,4493154,1408,1047
8,8,3741847,2893,7909
64,8,3869496,25780,64617
512,8,17471144,193422,583933
4096,8,18947059,1547792,4943320
32768,8,18803732,12489976,40275274
1,16,4292126,7060,14218
8,16,1893650,16751,32547
64,16,2590336,131246,264683
512,16,3474259,1017842,2217426
4096,16,13951335,7035292,17707567
32768,16,15447096,65628236,144452150
1,32,5461056,14226,23917
8,32,5355805,109233,183416
64,32,5311987,865129,1466152
512,32,5710843,5791883,11658294
4096,32,6582390,55683596,95253079
32768,32,21983091,370799602,751759766
1,64,19929434,138675,172066
8,64,19874305,1051557,1307497
64,64,20185422,8878049,10067111
512,64,20461244,74700191,80526434
4096,64,20570778,589987958,645372512
32768,64,21521211,5037269876,5171335188
