name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_Finufft_Setpts/1/8",2009117,0.333416,0.333412,us,,,,,
"BM_Finufft_Setpts/8/8",2059209,0.350955,0.350946,us,,,,,
"BM_Finufft_Setpts/64/8",2045028,0.33913,0.339128,us,,,,,
"BM_Finufft_Setpts/512/8",1897906,0.383505,0.383502,us,,,,,
"BM_Finufft_Setpts/4096/8",836802,0.843629,0.843619,us,,,,,
"BM_Finufft_Setpts/32768/8",99910,6.99846,6.99839,us,,,,,
"BM_Finufft_Setpts/1/16",2084269,0.336048,0.336045,us,,,,,
"BM_Finufft_Setpts/8/16",2069315,0.338458,0.338456,us,,,,,
"BM_Finufft_Setpts/64/16",2050716,0.341251,0.34125,us,,,,,
"BM_Finufft_Setpts/512/16",1805842,0.384151,0.384149,us,,,,,
"BM_Finufft_Setpts/4096/16",815390,0.859473,0.859469,us,,,,,
"BM_Finufft_Setpts/32768/16",99766,7.01011,7.01008,us,,,,,
"BM_Finufft_Setpts/1/32",2005309,0.348711,0.348707,us,,,,,
"BM_Finufft_Setpts/8/32",2079164,0.354256,0.354253,us,,,,,
"BM_Finufft_Setpts/64/32",2056808,0.369624,0.369621,us,,,,,
"BM_Finufft_Setpts/512/32",1806468,0.394481,0.39448,us,,,,,
"BM_Finufft_Setpts/4096/32",1112757,0.63577,0.635768,us,,,,,
"BM_Finufft_Setpts/32768/32",99072,7.06316,7.06313,us,,,,,
"BM_Finufft_Setpts/1/64",2156922,0.336396,0.336395,us,,,,,
"BM_Finufft_Setpts/8/64",2059444,0.3401,0.340097,us,,,,,
"BM_Finufft_Setpts/64/64",1987652,0.340092,0.340089,us,,,,,
"BM_Finufft_Setpts/512/64",1941189,0.384171,0.384169,us,,,,,
"BM_Finufft_Setpts/4096/64",1119458,0.613996,0.613994,us,,,,,
"BM_Finufft_Setpts/32768/64",99736,6.99378,6.9937,us,,,,,
"BM_Finufft_Execute/1/8",69464,10.0509,10.0508,us,,,,,
"BM_Finufft_Execute/8/8",62674,10.742,10.742,us,,,,,
"BM_Finufft_Execute/64/8",45995,15.0051,15.005,us,,,,,
"BM_Finufft_Execute/512/8",14805,47.5674,47.5673,us,,,,,
"BM_Finufft_Execute/4096/8",2254,310.692,310.69,us,,,,,
"BM_Finufft_Execute/32768/8",293,2386.53,2386.5,us,,,,,
"BM_Finufft_Execute/1/16",29955,23.7773,23.7773,us,,,,,
"BM_Finufft_Execute/8/16",28025,23.5495,23.5493,us,,,,,
"BM_Finufft_Execute/64/16",25428,28.0449,28.0448,us,,,,,
"BM_Finufft_Execute/512/16",11671,59.9253,59.9251,us,,,,,
"BM_Finufft_Execute/4096/16",2229,313.614,313.612,us,,,,,
"BM_Finufft_Execute/32768/16",297,2366.79,2366.78,us,,,,,
"BM_Finufft_Execute/1/32",685,1016.56,1016.55,us,,,,,
"BM_Finufft_Execute/8/32",682,1027.31,1027.3,us,,,,,
"BM_Finufft_Execute/64/32",656,1027.29,1027.28,us,,,,,
"BM_Finufft_Execute/512/32",628,1111.46,1111.46,us,,,,,
"BM_Finufft_Execute/4096/32",511,1361.18,1361.18,us,,,,,
"BM_Finufft_Execute/32768/32",200,3490.37,3490.35,us,,,,,
"BM_Finufft_Execute/1/64",97,7164.37,7164.34,us,,,,,
"BM_Finufft_Execute/8/64",97,7177.96,7177.93,us,,,,,
"BM_Finufft_Execute/64/64",98,7183.96,7183.93,us,,,,,
"BM_Finufft_Execute/512/64",97,7218.36,7218.33,us,,,,,
"BM_Finufft_Execute/4096/64",92,7624.18,7624.15,us,,,,,
"BM_Finufft_Execute/32768/64",66,10628.2,10628.1,us,,,,,
"BM_NUDFT3D1/1/8",2294771,0.310684,0.310682,us,,,,,
"BM_NUDFT3D1/8/8",313243,2.18993,2.18991,us,,,,,
"BM_NUDFT3D1/64/8",39756,17.7605,17.7604,us,,,,,
"BM_NUDFT3D1/512/8",4911,141.787,141.786,us,,,,,
"BM_NUDFT3D1/4096/8",627,1123.36,1123.34,us,,,,,
"BM_NUDFT3D1/32768/8",78,9035.71,9035.67,us,,,,,
"BM_NUDFT3D1/1/16",603653,1.14739,1.14738,us,,,,,
"BM_NUDFT3D1/8/16",77618,8.98928,8.98921,us,,,,,
"BM_NUDFT3D1/64/16",9729,71.8315,71.8312,us,,,,,
"BM_NUDFT3D1/512/16",1216,575.325,575.323,us,,,,,
"BM_NUDFT3D1/4096/16",150,4677.16,4677.14,us,,,,,
"BM_NUDFT3D1/32768/16",19,36817.9,36817.7,us,,,,,
"BM_NUDFT3D1/1/32",96604,7.26843,7.2684,us,,,,,
"BM_NUDFT3D1/8/32",12106,57.7722,57.772,us,,,,,
"BM_NUDFT3D1/64/32",1503,465.691,465.689,us,,,,,
"BM_NUDFT3D1/512/32",189,3698.27,3698.25,us,,,,,
"BM_NUDFT3D1/4096/32",24,29597.8,29597.7,us,,,,,
"BM_NUDFT3D1/32768/32",3,240680,240680,us,,,,,
"BM_NUDFT3D1/1/64",10389,67.4168,67.4165,us,,,,,
"BM_NUDFT3D1/8/64",1301,537.962,537.96,us,,,,,
"BM_NUDFT3D1/64/64",161,4355.52,4355.5,us,,,,,
"BM_NUDFT3D1/512/64",20,34396.1,34396,us,,,,,
"BM_NUDFT3D1/4096/64",3,275335,275334,us,,,,,
"BM_NUDFT3D1/32768/64",1,2.27853e+06,2.27852e+06,us,,,,,
